rank,team,games_played,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,batting_avg,ob_base_perc,slugging_perc,on_base_plus_slugging
1,LA Angels,162,5652,773,1464,304,31,155,2295,729,0.259,0.322,0.406,0.728
2,Detroit,162,5630,757,1557,325,26,155,2399,731,0.277,0.331,0.426,0.757
3,Colorado,162,5612,755,1551,307,41,186,2498,721,0.276,0.327,0.445,0.772
4,Oakland,162,5545,729,1354,253,33,146,2111,686,0.244,0.32,0.381,0.7
5,Toronto,162,5549,723,1435,282,24,177,2296,690,0.259,0.323,0.414,0.736
6,LA Dodgers,162,5560,718,1476,302,38,134,2256,686,0.265,0.333,0.406,0.738
7,Minnesota,162,5567,715,1412,316,27,128,2166,675,0.254,0.324,0.389,0.713
8,Baltimore,162,5596,705,1434,264,16,211,2363,681,0.256,0.311,0.422,0.734
9,Washington,162,5542,686,1403,265,27,152,2178,635,0.253,0.321,0.393,0.714
10,Pittsburgh,162,5536,682,1436,275,30,156,2239,659,0.259,0.33,0.404,0.734
11,Cleveland,162,5575,669,1411,284,23,142,2167,644,0.253,0.317,0.389,0.706
12,San Francisco,162,5523,665,1407,257,42,132,2144,636,0.255,0.311,0.388,0.699
13,Chicago Sox,162,5543,660,1400,279,32,155,2208,625,0.253,0.31,0.398,0.708
14,Kansas City,162,5545,651,1456,286,29,95,2085,604,0.263,0.314,0.376,0.69
15,Milwaukee,162,5462,650,1366,297,28,150,2169,617,0.25,0.311,0.397,0.708
16,Miami,162,5538,645,1399,254,36,122,2091,614,0.253,0.317,0.378,0.694
17,Texas,162,5460,637,1400,260,28,111,2049,597,0.256,0.314,0.375,0.689
18,Boston,162,5551,634,1355,282,20,123,2046,601,0.244,0.316,0.369,0.684
19,Seattle,162,5450,634,1328,247,32,136,2047,600,0.244,0.3,0.376,0.676
20,NY Yankees,162,5497,633,1349,247,26,147,2089,591,0.245,0.307,0.38,0.687
21,Houston,162,5447,629,1317,240,19,163,2084,596,0.242,0.309,0.383,0.692
22,NY Mets,162,5472,629,1306,275,19,125,1994,602,0.239,0.308,0.364,0.673
23,Philadelphia,162,5603,619,1356,251,27,125,2036,584,0.242,0.302,0.363,0.665
24,St. Louis,162,5426,619,1371,275,21,105,2003,585,0.253,0.32,0.369,0.689
25,Arizona,162,5552,615,1379,259,47,118,2086,573,0.248,0.302,0.376,0.678
26,Chicago Cubs,162,5508,614,1315,270,31,157,2118,590,0.239,0.3,0.385,0.684
27,Tampa Bay,162,5516,612,1361,263,24,117,2023,586,0.247,0.317,0.367,0.684
28,Cincinnati,162,5395,595,1282,254,20,131,1969,562,0.238,0.296,0.365,0.661
29,Atlanta,162,5468,573,1316,240,22,123,1969,545,0.241,0.305,0.36,0.665
30,San Diego,162,5294,535,1199,224,30,109,1810,500,0.226,0.292,0.342,0.634
