company,brand,variety,target,CFBAI_approved,meet_IWG_criteria,npi2006,npi2009,npi2012,serving_size_g,calories_kcal,fiber_g,sugar_g,sodium_mg,sugar_perc_g,fiber_perc_g,sodium_mg_per100g
Annie's,Annie's,Cinnamon Roll Bunny O's,Family,No,Yes,,,50,29,120,1,7,85,0.24,0.034,293
Annie's,Annie's,Cocoa and Vanilla Bunnies,Family,No,No,,46,50,29,110,1,8,85,0.28,0.034,293
Annie's,Annie's,Fruity Bunnies,Family,No,No,,46,50,29,120,1,7,85,0.24,0.034,293
Annie's,Annie's,Honey Bunnies,Family,No,No,,54,52,29,110,1,7,90,0.24,0.034,310
Annie's,Annie's,Organic Bunny O's,Family,No,No,,,64,29,120,1,2,110,0.07,0.034,379
Barbara's Bakery,Brown Rice Crisps,,Adult,No,Yes,,,70,30,120,1,1,95,0.03,0.033,317
Barbara's Bakery,Corn Flakes,,Adult,No,Yes,,,68,30,110,1,3,80,0.1,0.033,267
Barbara's Bakery,Hole 'n Oats,Fruit Juice Sweetened,Adult,No,Yes,,,78,30,120,3,1,80,0.03,0.1,267
Barbara's Bakery,Hole 'n Oats,Honey Nut,Adult,No,No,,,54,30,120,2,10,80,0.33,0.067,267
Barbara's Bakery,Puffins,Cinnamon,Family,No,No,,54,56,30,90,6,6,150,0.2,0.2,500
Barbara's Bakery,Puffins,Honey Rice,Family,No,Yes,,56,68,30,120,3,6,80,0.2,0.1,267
Barbara's Bakery,Puffins,Multigrain,Family,No,Yes,,,68,30,110,3,6,80,0.2,0.1,267
Barbara's Bakery,Puffins,Original,Family,No,No,,50,50,27,90,5,5,190,0.19,0.185,704
Barbara's Bakery,Puffins,Peanut Butter,Family,No,No,,46,46,30,110,2,6,230,0.2,0.067,767
Barbara's Bakery,Puffins,Peanut Butter and Chocolate,Family,No,Yes,,,58,30,110,3,6,105,0.2,0.1,350
Barbara's Bakery,Puffins Puffs,Crunchy Cocoa,Family,No,Yes,,58,58,30,120,3,7,80,0.23,0.1,267
Barbara's Bakery,Puffins Puffs,Fruit Medley,Family,No,Yes,,58,54,30,120,1,7,80,0.23,0.033,267
Barbara's Bakery,Shredded Minis,Blueberry Burst,Adult,No,Yes,,,58,55,220,4,14,140,0.25,0.073,255
Barbara's Bakery,Shredded Oats,Cinnamon Crunch,Family,No,No,,50,50,55,230,4,15,220,0.27,0.073,400
Barbara's Bakery,Shredded Oats,Original,Adult,No,No,,,56,58,220,5,12,260,0.21,0.086,448
Barbara's Bakery,Shredded Oats,Vanilla Almond,Adult,No,No,,52,52,55,220,4,15,210,0.27,0.073,382
Barbara's Bakery,Shredded Spoonfuls,Multigrain,Adult,No,No,,54,54,32,120,4,5,200,0.16,0.125,625
Barbara's Bakery,Shredded Wheat,,Adult,No,Yes,,82,82,40,140,5,0,0,0,0.125,0
Barbara's Bakery,Ultima Organic,Cranberry,Adult,No,Yes,,,70,55,190,10,11,140,0.2,0.182,255
Barbara's Bakery,Ultima Organic,Flax and Granola,Adult,No,Yes,,58,72,55,200,10,9,140,0.16,0.182,255
Barbara's Bakery,Ultima Organic,High Fiber-Original,Adult,No,Yes,,70,72,55,180,14,8,140,0.15,0.255,255
Cascadian Farms,Chocolate  O's,,Family,No,No,,,54,28,100,3,8,95,0.29,0.107,339
Cascadian Farms,Cinnamon Crunch,,Family,No,No,,50,50,27,110,3,8,105,0.3,0.111,389
Cascadian Farms,Clifford Crunch,,Child,No,No,,54,52,30,110,3,8,160,0.27,0.1,533
Cascadian Farms,Fruitful O's,,Family,No,No,,,50,28,100,3,8,130,0.29,0.107,464
Cascadian Farms,Granola,Cinnamon Raisin,Adult,No,No,,50,50,55,210,3,16,200,0.29,0.055,364
Cascadian Farms,Granola,Dark Chocolate  Almond,Adult,No,No,,,52,52,210,4,14,160,0.27,0.077,308
Cascadian Farms,Granola,French Vanilla Almond,Adult,No,Yes,,,56,50,210,3,13,85,0.26,0.06,170
Cascadian Farms,Granola,Fruit & Nut,Adult,No,No,,54,54,52,210,3,14,95,0.27,0.058,183
Cascadian Farms,Granola,Maple Brown Sugar,Adult,No,Yes,,54,54,55,220,3,14,160,0.25,0.055,291
Cascadian Farms,Granola,Oats & Honey,Adult,No,Yes,,54,54,55,230,3,13,120,0.24,0.055,218
Cascadian Farms,Hearty Morning,,Adult,No,No,,48,48,55,200,8,11,360,0.2,0.145,655
Cascadian Farms,Honey Nut O's,,Family,No,No,,44,50,30,110,3,7,170,0.23,0.1,567
Cascadian Farms,Multi-Grain  Squares,,Adult,No,Yes,,70,70,30,110,2,4,115,0.13,0.067,383
Cascadian Farms,Purely O's,,Family,No,No,,46,58,30,110,3,1,190,0.03,0.1,633
Cascadian Farms,Raisin Bran,,Adult,No,No,,50,50,55,180,6,14,340,0.25,0.109,618
General Mills,Basic 4,,Adult,No,No,50,50,50,55,200,4,13,280,0.24,0.073,509
General Mills,Boo Berry,,Family,No,No,34,40,44,33,130,1,10,190,0.3,0.03,576
General Mills,Cheerios,(Regular),Family,No,No,58,58,70,28,100,3,1,160,0.04,0.107,571
General Mills,Cheerios,Apple Cinnamon,Family,No,No,40,44,50,30,120,2,10,115,0.33,0.067,383
General Mills,Cheerios,Banana Nut,Family,No,No,,42,46,28,100,2,9,160,0.32,0.071,571
General Mills,Cheerios,Chocolate,Family,No,No,,,46,27,100,2,9,170,0.33,0.074,630
